longName,deployType,url
CRA BAJO GÁLLEGO (Leciñena),CEIP,crabajogalego
CEIP ÁNGEL ESCORIAZA (Cartuja Baja),CEIP,coleangelescoriaza
CEIP CALIXTO ARIÑO-HILARIO VAL (Zaragoza),CEIP,cpcalixtoarino
IES VIRGEN DEL PILAR (Zaragoza),IES,iesvirgendelpilar
CEIP FERRER Y RACAJ (Ejea de los Caballeros),CEIP,ceipferreryracaj
CRA L' ALBARDÍN (Azuara),CEIP,cralalbardin2020
CEIP CAMPO DE BORJA (Borja),CEIP,colegioborja
CRA ESTADILLA-FONZ (Fonz),CEIP,craestadillafonz
CPRI-INPRISE NTRA. SRA. DEL CARMEN Y SAN JOSÉ (Zaragoza),CPI,elcarmenysanjose
CEIP MARÍA MOLINER (Fraga),CEIP,ceipmariamolinerfraga
CRA SOMONTANO-BAJO ARAGÓN (La Mata de los Olmos),CEIP,crasomontano
CEIP SANTO CRISTO DE SANTIAGO (Cariñena),CEIP,ceipsantocristodesantiago
CEIP SAN VICENTE (Huesca),CEIP,sanvicentehuesca
CPRI-EE La purísima (Zaragoza),VACIO,lpurisimansz
CRA EL TRÉBOL (Binaced),CEIP,craeltrebol
CEIP HERMANOS MARX (Zaragoza),CEIP,cphermanosmarx
CEIP DE FIGUERUELAS (Figueruelas),CEIP,ceipfigueruelas
CEIP JOAQUÍN COSTA (Monzon),CEIP,cpjcmonzon
CPRI-EE MARÍA-SORIANO (Zaragoza),VACIO,maria-soriano
CPI RÍO SENA (Zaragoza),CPI,riosena
CPRI-ES VALLE DE BENASQUE (Benasque),IES,cesbenasque
CRA RIBERA DEL CINCA (Torrente de Cinca),CEIP,crariberadelcinca
CEIP RECTOR MAMÉS ESPERABÉ (Ejea de los Caballeros),CEIP,colegiomames
CRA LA SABINA (Villafranca de Ebro),CEIP,cralasabina
IES MARÍA MOLINER (Zaragoza),IES,iesmariamoliner
CEIP CERVANTES (Pedrola),CEIP,ceipcervantespedrola
CEIP JOSÉ CAMÓN AZNAR (Zaragoza),CEIP,cpcamonaznar
CPI RAMÓN Y CAJAL (Ayerbe),CPI,cpiramonycajal
CEIP JOAQUÍN COSTA (Tarazona),CEIP,joaquincostatarazona
CEIP COMPROMISO DE CASPE (Caspe),CEIP,ceipcompromiso
CEIP ASUNCIÓN PAÑART MONTANER (Ainsa),CEIP,cpainsa
CEIP DOMINGO MIRAL (Zaragoza),CEIP,ceipdomingomiral
CEIP FERNANDO EL CATÓLICO (Zaragoza),CEIP,cpfeczaragoza
CPI SAN JORGE (Zaragoza),CPI,cpisanjorge
CRA LOS BAÑALES (Sadaba),CEIP,crabanales
CEIP SALVADOR MINGUIJÓN (Calatayud),CEIP,salvadorminguijon
CPI CASTILLO QADRIT (Cadrete),CPI,cpicastilloqadrit
CEE RINCÓN DE GOYA (Zaragoza),VACIO,rincondegoya
CP RAMON SAINZ DE VARANDA (Zaragoza),CEIP,cprsvaranda
CEIP ODÓN DE BUEN (Zuera),CEIP,cpodondebuen
CPIFP MONTEARAGÓN (Huesca),VACIO,cpifpmontearagon
CPRI-INPRISE POMPILIANO (Zaragoza),CPI,escolapiaspompiliano
CEIP VIRGEN DE LA PEANA (Ateca),CEIP,ceipvirgendelapeana
CEIP CÉSAR AUGUSTO (Zaragoza),CEIP,ceipcesaraugusto
CEIP HILARIÓN GIMENO (Zaragoza),CEIP,hilariongimeno
CRA MESA-PIEDRA-ALTO CAMPILLO (Ibdes),CEIP,cramesapiedra
CRA ALTA RIBAGORZA (Benasque),CEIP,craaltaribagorza
CEIP RAMÓN Y CAJAL (Pina de Ebro),CEIP,cppina
CEIP LA LAGUNA (Sariñena),CEIP,ceiplalaguna
CRA DE ALTORRICÓN (Altorricon),CEIP,craaltorricon
CEE JEAN PIAGET ZARAGOZA,VACIO,piaget
CRA Cerro de Santa Cruz,CEIP,crausedycubel
CEIP BALTASAR GRACIÁN (Calatayud),CEIP,colegiobaltasargracian
CEIP ANTONIO MARTÍNEZ GARAY (Casetas),CEIP,cpmartinezgaray
CEIP TORRE RAMONA (Zaragoza),CEIP,torreramona
CEIP RICARDO MUR (Casetas),CEIP,ceipricardomur
CEIP LA ESTRELLA (Zaragoza),CEIP,laestrella
CRA TRES RIBERAS (Maluenda),CEIP,cratresriberas
CEIP MONTE OROEL (JACA),CEIP,monteoroel
CEIP MARCOS FRECHÍN (Zaragoza),CEIP,marcosfrechin
CPRI-EE SAN GERMÁN (Zaragoza),VACIO,ceesangerman
CPI VALDESPARTERA 3 (Zaragoza),CPI,cpivaldespartera3
CRA VERO-ALCANADRE (Adahuesca),CEIP,veroalcanadre
IES SIGLO XXI (Pedrola),IES,iessigloxxipedrola
CPRI-INPRISE VIRGEN DEL ROMERAL (Binefar),CPI,virgenromeral
CEIP LA FUEVA (Tierrantona),CEIP,ceiplafueva
CEIP SAN BRAULIO (Zaragoza),CEIP,ceipsanbraulio
CEIP ANTONIO BELTRÁN MARTÍNEZ (Zaragoza),CEIP,cpantoniobeltran
